PAIS, FECHA, INFECTADOS
32,1577880000,2342
32,1578657600,4923
32,1579089600,9324
170,1577880000,8234
170,1578657600,9234
170,1579089600,9423
276,1577880000,8432
276,1579089600,9129
276,1579521600,4214 
834,1577880000,8432
764,1579089600,9129
704,1579521600,4214 
504,1577880000,2342
104,1578657600,4923
480,1579089600,9324
484,1577880000,8234
496,1578657600,9234
554,1579089600,9423
558,1577880000,8432
574,1579089600,9129
512,1579521600,4214 
586,1577880000,8432
591,1579089600,9129
384,1579521600,4214 
